primary_category,secondary_categories,confidence,rationale,call_id,reasoning_for_secondary_categories
Platform Reliability & Outages,['Internal Sprint & Development Planning'],0.98,"This is a day-three incident response call addressing a Detect product outage with cascading failure in the event processing pipeline, covering root cause analysis (single point of failure in event ingestion), remediation architecture (redundant active-active nodes, circuit breaker pattern), restoration timeline, and customer communication strategy.",01KQ03B0303900521BB089CA,
Billing & Licensing Issues,[],0.98,"Call centers on resolving an invoice discrepancy where the customer was billed for 1,400 seats instead of their contracted 1,200, traced to undeprovisioned test accounts, requiring a billing adjustment from the finance team.",01KQ0C1280EDA4E70AAD7C35,
Internal Sprint & Development Planning,['Platform Reliability & Outages'],0.95,"This is a sprint status check-in covering story progress, timeline risk assessment, task allocation, and capacity planning across the Detect pipeline refactor and Comply v2 launch—core sprint planning activities—though the Detect reliability work being discussed does relate to platform stability improvements.",01KQ0CAE7F064EC93F0540CA,
Compliance & Audit Preparation,[],0.98,"The call is explicitly focused on ISO 27001 certification preparation, including gap assessment status, evidence collection automation, Annex A control mapping, and audit readiness using the Comply v2 module.",01KQ0DFE299AC7A74E8022CA,
Renewal Risk & Churn Prevention,['Platform Reliability & Outages'],0.92,"Lauren explicitly flags the March Detect outage as raising internal reliability concerns and mentions procurement requiring a competitive quote from SentinelShield, indicating renewal is at risk and requiring account recovery efforts despite expansion plans.",01KQ0F8AFF3DA34FD4580008,
Compliance & Audit Preparation,['Internal Sprint & Development Planning'],0.95,"This is an internal team meeting explicitly focused on preparing for a SOC 2 Type II audit, reviewing control areas like access control, change management, and incident tracking, and identifying compliance gaps before the 90-day observation period begins.",01KQ1267C6AA7D9B3125FEC8,
Platform Reliability & Outages,['Integration & Technical Configuration'],0.92,"This call addresses severe service degradation (backup jobs taking 4-6 hours vs. 90 minutes) caused by a known platform bug in version 3.4.1, with root cause analysis identifying the change block tracking issue and remediation planned through version upgrade to 3.6.0.",01KQ1A6B7E81B06F4A13B60D,
Billing & Licensing Issues,['Positive Renewal & Expansion'],0.92,"The call centers on resolving invoice discrepancies from overage charges on the Detect module due to event volume exceeding the 500 million monthly cap, with Rachel proposing a tier upgrade to address the billing concern—classic billing/licensing issue requiring pricing adjustment and contract restructuring.",01KQ1DC6CA536DE1B31ED8F5,
Renewal Risk & Churn Prevention,['Platform Reliability & Outages'],0.95,"The call centers on a contract renewal at serious risk due to the March 10-11 outage and active competitor evaluation (SentinelShield), with Maria proposing SLA credits, pricing adjustments, and engineering calls to retain the customer.",01KQ1DCC80852AE384C898C9,
Internal Sprint & Development Planning,['Platform Reliability & Outages'],0.92,"This is an internal engineering/product team call covering sprint-level work (reporting engine validation, code completion timelines), resource allocation (engineers pulled for incident response), and launch readiness planning with specific deadlines and blockers for the Comply v2 release.",01KQ1DE954A807A5D2653175,
Platform Reliability & Outages,['Renewal Risk & Churn Prevention'],0.95,"The call centers on a six-hour threat monitoring outage, root cause analysis of a single point of failure in the event processing pipeline, and remediation plans including redundant nodes and circuit breaker patterns—all core reliability topics—while the customer's mention of formal vendor review and competitor evaluation signals clear renewal risk as a secondary concern.",01KQ2217B066855A3B7814CB,
Platform Reliability & Outages,['Renewal Risk & Churn Prevention'],0.98,"This is an internal incident response call addressing a six-hour Detect product outage with cascading pipeline failure, root cause analysis discussion, and planning of post-incident customer communications including executive messaging and SLA credit exposure.",01KQ2331EFD78BF3B1CAB747,
Feature Gaps & Roadmap Requests,['Integration & Technical Configuration'],0.95,"Customer explicitly requests granular file-level restore functionality not currently available in Aegis Protect, requiring Sarah to document a formal feature request after Jason describes a painful two-hour manual workaround for what should be a simple operation.",01KQ25D8AED944B5D2A9FF60,
Cross-Functional Business Reviews,"['Platform Reliability & Outages', 'Renewal Risk & Churn Prevention']",0.92,"This is an internal leadership call reviewing company-wide strategic response to a competitive threat across multiple departments (sales, engineering, support, legal), discussing customer retention strategy, competitor positioning, and cross-functional coordination—hallmarks of a business review rather than a single-topic operational call.",01KQ298F2846EFE59B0D70E2,
Compliance & Audit Preparation,['New Customer Onboarding & Implementation'],0.98,"The call centers on Damien's upcoming Q2 audit and how Aegis Comply can automate SOC 2 and ISO 27001 evidence collection, with discussion of audit readiness, compliance frameworks, and continuous control mapping—core compliance preparation topics.",01KQ2B4878EC7B3EE5547007,
Platform Reliability & Outages,['Renewal Risk & Churn Prevention'],0.98,"This call centers on a critical system outage (three-hour loss of threat visibility due to event processing pipeline failure) with active incident response, root cause discussion (cascading failure, single point of failure), and customer communication about restoration timeline—textbook platform reliability issue with clear churn risk given the customer is evaluating competitors and has an upcoming board meeting.",01KQ2D93184912F0147315E7,
Internal Sprint & Development Planning,"['Integration & Technical Configuration', 'Compliance & Audit Preparation']",0.95,"This is a Q2 roadmap planning session for the Identity product team covering sprint priorities, technical implementation details (SCIM sync failure modes, attribute mapping UI), story estimation (four to five weeks), and backlog prioritization across three major themes.",01KQ31ED026F745FE2A55CCD,
Platform Reliability & Outages,['Renewal Risk & Churn Prevention'],0.95,"This call directly addresses a multi-day system outage (cascading failure in Detect's event processing pipeline causing hour-long alert latency), includes root cause explanation, fix deployment timeline discussion, and acknowledgment of failed proactive customer communication—all core elements of platform reliability incident response.",01KQ325BDEDEE927D2970775,
Renewal Risk & Churn Prevention,['Platform Reliability & Outages'],0.95,"While the call discusses a six-hour Detect outage and its root cause, the dominant theme is Grace's CISO requesting a competitive evaluation against SentinelShield with renewal at risk in June, making this fundamentally a churn prevention conversation triggered by reliability issues.",01KQ351E141926AB7CAB668D,
Platform Reliability & Outages,['Internal Sprint & Development Planning'],0.98,"This is a war room call addressing a critical system outage (Detect pipeline failure at 9:14 AM), discussing root cause (single node memory failure), incident response actions (spinning up secondary node), and post-incident communication needs (status page delay, customer escalations about potential breach).",01KQ38C4101D6774F2F02331,
Feature Gaps & Roadmap Requests,[],0.4,"This call reports PDF rendering bugs in the newly released Comply v2 (header truncation, table pagination issues), which Marcus confirms as a defect requiring engineering escalation and a fix timeline—this is a product quality issue requiring remediation rather than a feature gap, integration problem, or any other category in the taxonomy.",01KQ38FE02AEE5AA5157F042,
Compliance & Audit Preparation,['Positive Renewal & Expansion'],0.95,"The call centers on demonstrating Aegis Comply v2's HIPAA reporting capabilities to address Blackridge's painful manual audit evidence-gathering process, with discussion of regulatory frameworks, audit readiness, and compliance automation—core elements of the Compliance & Audit Preparation category.",01KQ3BD8DEEBC7FECD107F0F,
Integration & Technical Configuration,[],0.95,"Call focuses on troubleshooting a third-party integration (CloudPrime S3 backup connector) with technical configuration issues including endpoint misconfiguration, IAM permissions, and Service Control Policies.",01KQ3C837D7EF689408DCF95,
Platform Reliability & Outages,[],0.98,"This is a post-incident review of the Detect outage from March 10th, covering root cause analysis (cascading failure in event ingestion pipeline), deployed fixes (redundant processing nodes and circuit breaker pattern), and customer communication planning about the incident.",01KQ3CE40428CCC5FF433FFC,
