customer_sentiment,urgency,resolution_status,trajectory,rationale,call_id
,0.85,open_with_plan,improving,Internal team coordinating response to day-three outage affecting 112 customer cases with clear remediation timeline (end of day/tomorrow) but still processing retroactive threat analysis and managing credibility concerns.,01KQ03B0303900521BB089CA
0.4,0.3,open_with_plan,improving,Customer started frustrated about unexpected billing charges but became collaborative after Sarah identified the root cause (test accounts from migration) and outlined a clear billing adjustment process plus self-service remediation steps.,01KQ0C1280EDA4E70AAD7C35
,0.3,open_with_plan,stable,"Internal engineering standup with moderate timeline pressure on Detect reliability work (60-40 odds of hitting end-of-March deadline), but team proactively identified risks and assigned Tyler to investigate Kafka uncertainty to improve delivery confidence.",01KQ0CAE7F064EC93F0540CA
0.75,0.4,open_with_plan,improving,"Customer started with pressure from CISO but became increasingly positive about Comply v2's capabilities, ending with concrete next steps scheduled for ISO 27001 preparation with an 8-month runway.",01KQ0DFE299AC7A74E8022CA
0.3,0.4,open_with_plan,improving,"Customer started with serious concerns about March outage and is evaluating competitors, but by call's end is engaging constructively on renewal planning, product features, and next steps including technical documentation review and compliance specialist connection.",01KQ0F8AFF3DA34FD4580008
,0.65,open_with_plan,stable,Internal audit prep call with moderate time pressure (3 days until observation period) identified several gaps but assigned clear owners and action items for each issue before the March 1st deadline.,01KQ1267C6AA7D9B3125FEC8
0.3,0.7,open_with_plan,improving,Customer started frustrated about three-week-old backup performance issue but became cautiously optimistic after support identified likely root cause (outdated agent version) and provided clear upgrade path with follow-up commitment.,01KQ1A6B7E81B06F4A13B60D
0.3,0.4,open_with_plan,improving,"Customer started with billing concerns about unexpected overage charges but became receptive after receiving clear explanations, cost comparisons, and a concrete follow-up plan including pricing documentation by end of week.",01KQ1DC6CA536DE1B31ED8F5
-0.3,0.75,open_with_plan,improving,"Customer started frustrated about a 6-hour outage and is evaluating competitors, but Maria's concrete offers (technical remediation report, engineering call, service credit, and timely v2 product launch addressing their compliance needs) are shifting the conversation from complaint to negotiation.",01KQ1DCC80852AE384C898C9
,0.4,open_with_plan,stable,Internal launch readiness review with moderate time pressure (April 7th deadline) but clear action items assigned and dependencies being actively managed across teams.,01KQ1DE954A807A5D2653175
-0.4,0.85,open_with_plan,improving,"Customer (Meridian Capital) is actively evaluating competitors after a 6-hour outage but engaged constructively with technical explanations and timeline commitments, moving from initial anger toward cautious willingness to see fixes implemented by end of March.",01KQ2217B066855A3B7814CB
,0.95,open_with_plan,deteriorating,"Critical product outage with 47+ customer tickets, enterprise accounts threatening to churn, SLA breach exposure, and team discovering their monitoring product failed to monitor itself—clear action items assigned but underlying customer trust issues remain unresolved.",01KQ2331EFD78BF3B1CAB747
-0.3,0.5,open_with_plan,stable,"Customer confirmed a product gap that forced a painful two-hour workaround incompatible with their 15-minute RTO requirements, but remained professional and engaged constructively in documenting a feature request with no immediate resolution timeline.",01KQ25D8AED944B5D2A9FF60
,0.75,open_with_plan,stable,"Internal team is under high pressure from competitive threats post-outage with clear action items (counter-narrative, transparency strategy, technical fixes deployed), but facing 30-60 day timeline challenge and active customer escalations including potential liability issues.",01KQ298F2846EFE59B0D70E2
0.75,0.4,open_with_plan,improving,"Customer started with pain around manual audit prep and grew increasingly positive throughout the call, ending enthusiastically requesting a demo with clear next steps and comfortable timeline for their Q2 audit.",01KQ2B4878EC7B3EE5547007
-0.7,0.95,open_with_plan,stable,"Customer remains highly negative about a critical multi-hour outage affecting threat visibility, explicitly mentioning competitor evaluation, but Marcus's transparent handling and escalation commitment prevented further deterioration.",01KQ2D93184912F0147315E7
,0.2,open_with_plan,improving,"Internal planning call with positive team energy around Q2 roadmap; no immediate crises, clear priorities established, and team morale appears strong after successful Q1 Comply launch despite lingering concerns about March Detect outage.",01KQ31ED026F745FE2A55CCD
-0.3,0.85,open_with_plan,improving,"Customer started frustrated after 4-day unacknowledged outage but Priya's transparency, ownership, concrete next steps (2-hour update, direct escalation path, account manager involvement), and empathy shifted Paula from anger toward cautious cooperation, though underlying SLA breach concerns remain.",01KQ325BDEDEE927D2970775
-0.3,0.9,open_with_plan,improving,"Customer started extremely negative (threatened churn, competitive evaluation) but Maria's direct accountability, concrete technical fixes, and commitment to executive-level follow-up shifted Grace from anger to cautious willingness to engage, though trust remains damaged.",01KQ351E141926AB7CAB668D
,0.95,open_with_plan,stable,"Critical production outage affecting all enterprise customers with potential data loss, but team has identified root cause and is implementing a stopgap fix within 90 minutes while coordinating customer communications.",01KQ38C4101D6774F2F02331
0.3,0.7,open_with_plan,improving,"Customer started frustrated with a blocking compliance report bug but became more satisfied after Marcus quickly reproduced the issue, provided a CSV workaround, and committed to same-day ETA with clear escalation to engineering.",01KQ38FE02AEE5AA5157F042
